"TIME","GEO","SIEC","UNIT","Value","Flag and Footnotes"
"2017M03","Ireland","Coal and manufactured gases","Gigawatt-hour","343.874",""
"2017M03","Ireland","Natural gas","Gigawatt-hour","1 110.985",""
"2017M03","Ireland","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M03","Greece","Total","Gigawatt-hour","3 657.939",""
"2017M03","Greece","Combustible fuels - non-renewable","Gigawatt-hour","0.080",""
"2017M03","Greece","Coal and manufactured gases","Gigawatt-hour","1 330.770",""
"2017M03","Greece","Natural gas","Gigawatt-hour","763.960",""
"2017M03","Greece","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M03","Spain","Total","Gigawatt-hour","21 153.274",""
"2017M03","Spain","Combustible fuels - non-renewable","Gigawatt-hour","290.951",""
"2017M03","Spain","Coal and manufactured gases","Gigawatt-hour","1 969.144",""
"2017M03","Spain","Natural gas","Gigawatt-hour","3 609.102",""
"2017M03","Spain","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","5 270.734",""
"2017M03","France","Total","Gigawatt-hour","49 794.818",""
"2017M03","France","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M03","France","Coal and manufactured gases","Gigawatt-hour","654.344",""
"2017M03","France","Natural gas","Gigawatt-hour","5 161.469",""
"2017M03","France","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","34 272.603",""
"2017M03","Croatia","Total","Gigawatt-hour","1 070.309",""
"2017M03","Croatia","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M03","Croatia","Coal and manufactured gases","Gigawatt-hour","177.199",""
"2017M03","Croatia","Natural gas","Gigawatt-hour","167.177",""
"2017M03","Croatia","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M03","Italy","Total","Gigawatt-hour","22 024.000",""
"2017M03","Italy","Combustible fuels - non-renewable","Gigawatt-hour",":",""
"2017M03","Italy","Coal and manufactured gases","Gigawatt-hour",":",""
"2017M03","Italy","Natural gas","Gigawatt-hour",":",""
"2017M03","Italy","Nuclear fuels and other fuels n.e.c.","Gigawatt-hour","0.000",""
"2017M03","Cyprus","Total","Gigawatt-hour","339.013",""
"2017M03","Cyprus","Combustible fuels - non-renewable","Gigawatt-hour","0.000",""
"2017M03","Cyprus","Coal and manufactured gases","Gigawatt-hour","0.000",""
