"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015M12","Greece","Monthly rate of change","All-items HICP","0.0",""
"2015M12","Spain","Monthly rate of change","All-items HICP","-0.4",""
"2015M12","France","Monthly rate of change","All-items HICP","0.2",""
"2015M12","Croatia","Monthly rate of change","All-items HICP","-0.6",""
"2015M12","Italy","Monthly rate of change","All-items HICP","0.0",""
"2015M12","Cyprus","Monthly rate of change","All-items HICP","-0.6",""
"2015M12","Latvia","Monthly rate of change","All-items HICP","-0.3",""
"2015M12","Lithuania","Monthly rate of change","All-items HICP","-0.4",""
"2015M12","Luxembourg","Monthly rate of change","All-items HICP","-0.5",""
"2015M12","Hungary","Monthly rate of change","All-items HICP","-0.3",""
"2015M12","Malta","Monthly rate of change","All-items HICP","-0.1",""
"2015M12","Netherlands","Monthly rate of change","All-items HICP","-0.1",""
"2015M12","Austria","Monthly rate of change","All-items HICP","0.6",""
"2015M12","Poland","Monthly rate of change","All-items HICP","-0.2",""
"2015M12","Portugal","Monthly rate of change","All-items HICP","-0.3",""
"2015M12","Romania","Monthly rate of change","All-items HICP","0.2",""
"2015M12","Slovenia","Monthly rate of change","All-items HICP","-0.3",""
"2015M12","Slovakia","Monthly rate of change","All-items HICP","-0.4",""
"2015M12","Finland","Monthly rate of change","All-items HICP","-0.2",""
"2015M12","Sweden","Monthly rate of change","All-items HICP","0.2",""
"2016M01","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","-1.3",""
"2016M01","Belgium","Monthly rate of change","All-items HICP","-1.7",""
"2016M01","Bulgaria","Monthly rate of change","All-items HICP","-0.2",""
"2016M01","Czechia","Monthly rate of change","All-items HICP","0.6",""
"2016M01","Denmark","Monthly rate of change","All-items HICP","-0.5",""
"2016M01","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","-1.1",""
"2016M01","Estonia","Monthly rate of change","All-items HICP","-0.2",""
"2016M01","Ireland","Monthly rate of change","All-items HICP","-0.9",""
"2016M01","Greece","Monthly rate of change","All-items HICP","-1.7",""
"2016M01","Spain","Monthly rate of change","All-items HICP","-2.5",""
"2016M01","France","Monthly rate of change","All-items HICP","-1.1",""
"2016M01","Croatia","Monthly rate of change","All-items HICP","-0.4",""
"2016M01","Italy","Monthly rate of change","All-items HICP","-2.2",""
"2016M01","Cyprus","Monthly rate of change","All-items HICP","-1.4",""
"2016M01","Latvia","Monthly rate of change","All-items HICP","-0.7",""
"2016M01","Lithuania","Monthly rate of change","All-items HICP","-0.4",""
"2016M01","Luxembourg","Monthly rate of change","All-items HICP","-1.5",""
"2016M01","Hungary","Monthly rate of change","All-items HICP","-0.1",""
"2016M01","Malta","Monthly rate of change","All-items HICP","-1.6",""
"2016M01","Netherlands","Monthly rate of change","All-items HICP","-1.5",""
"2016M01","Austria","Monthly rate of change","All-items HICP","-1.1",""
"2016M01","Poland","Monthly rate of change","All-items HICP","-0.2",""
"2016M01","Portugal","Monthly rate of change","All-items HICP","-1.1",""
"2016M01","Romania","Monthly rate of change","All-items HICP","-0.6",""
"2016M01","Slovenia","Monthly rate of change","All-items HICP","-1.4",""
"2016M01","Slovakia","Monthly rate of change","All-items HICP","-0.3",""
"2016M01","Finland","Monthly rate of change","All-items HICP","-0.5",""
"2016M01","Sweden","Monthly rate of change","All-items HICP","-0.6",""
"2016M02","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","0.1",""
"2016M02","Belgium","Monthly rate of change","All-items HICP","1.7",""
"2016M02","Bulgaria","Monthly rate of change","All-items HICP","-0.5",""
"2016M02","Czechia","Monthly rate of change","All-items HICP","0.1",""
"2016M02","Denmark","Monthly rate of change","All-items HICP","0.5",""
"2016M02","Germany (until 1990 former territory of the FRG)","Monthly rate of change","All-items HICP","0.4",""
"2016M02","Estonia","Monthly rate of change","All-items HICP","0.8",""
"2016M02","Ireland","Monthly rate of change","All-items HICP","0.4",""
"2016M02","Greece","Monthly rate of change","All-items HICP","0.0",""
"2016M02","Spain","Monthly rate of change","All-items HICP","-0.4",""
"2016M02","France","Monthly rate of change","All-items HICP","0.3",""
"2016M02","Croatia","Monthly rate of change","All-items HICP","-0.3",""
"2016M02","Italy","Monthly rate of change","All-items HICP","-0.4",""
"2016M02","Cyprus","Monthly rate of change","All-items HICP","-0.6",""
"2016M02","Latvia","Monthly rate of change","All-items HICP","0.1",""
"2016M02","Lithuania","Monthly rate of change","All-items HICP","-0.3",""
"2016M02","Luxembourg","Monthly rate of change","All-items HICP","1.3",""
"2016M02","Hungary","Monthly rate of change","All-items HICP","-0.1",""
"2016M02","Malta","Monthly rate of change","All-items HICP","0.6",""
"2016M02","Netherlands","Monthly rate of change","All-items HICP","0.9",""
"2016M02","Austria","Monthly rate of change","All-items HICP","-0.1",""
"2016M02","Poland","Monthly rate of change","All-items HICP","0.0",""
"2016M02","Portugal","Monthly rate of change","All-items HICP","-0.5",""
"2016M02","Romania","Monthly rate of change","All-items HICP","-0.3",""
"2016M02","Slovenia","Monthly rate of change","All-items HICP","0.0",""
"2016M02","Slovakia","Monthly rate of change","All-items HICP","0.1",""
"2016M02","Finland","Monthly rate of change","All-items HICP","0.2",""
"2016M02","Sweden","Monthly rate of change","All-items HICP","0.3",""
"2016M03","European Union - 27 countries (from 2020)","Monthly rate of change","All-items HICP","1.1",""
"2016M03","Belgium","Monthly rate of change","All-items HICP","0.8",""
"2016M03","Bulgaria","Monthly rate of change","All-items HICP","-0.6",""
