time,country,crude_oil_100,natural_gas_100,coal_100,elec_100,steel_100,copper_100,aluminum_100
2016M01,Czechia,69.94,83.16,78.15,95.41,81.49,72.87,73.86
2016M01,Denmark,69.94,83.16,78.15,95.08,81.49,72.87,73.86
2016M01,Germany,69.94,83.16,78.15,94.75,81.49,72.87,73.86
2016M01,Estonia,69.94,83.16,78.15,105.69,81.49,72.87,73.86
2016M01,Ireland,69.94,83.16,78.15,106.57,81.49,72.87,73.86
2016M01,Greece,69.94,83.16,78.15,107.51,81.49,72.87,73.86
2016M01,Spain,69.94,83.16,78.15,108.39,81.49,72.87,73.86
2016M01,France,69.94,83.16,78.15,109.27,81.49,72.87,73.86
2016M01,Croatia,69.94,83.16,78.15,110.21,81.49,72.87,73.86
2016M01,Italy,69.94,83.16,78.15,119.54,81.49,72.87,73.86
2016M01,Cyprus,69.94,83.16,78.15,117.21,81.49,72.87,73.86
2016M01,Latvia,69.94,83.16,78.15,114.89,81.49,72.87,73.86
2016M01,Lithuania,69.94,83.16,78.15,112.57,81.49,72.87,73.86
2016M01,Luxembourg,69.94,83.16,78.15,110.34,81.49,72.87,73.86
2016M01,Hungary,69.94,83.16,78.15,108.01,81.49,72.87,73.86
2016M01,Malta,69.94,83.16,78.15,96.71,81.49,72.87,73.86
2016M01,Netherlands,69.94,83.16,78.15,96.71,81.49,72.87,73.86
2016M01,Austria,69.94,83.16,78.15,96.71,81.49,72.87,73.86
2016M01,Poland,69.94,83.16,78.15,96.64,81.49,72.87,73.86
2016M01,Portugal,69.94,83.16,78.15,96.64,81.49,72.87,73.86
2016M01,Romania,69.94,83.16,78.15,96.64,81.49,72.87,73.86
2016M01,Slovenia,69.94,83.16,78.15,102.25,81.49,72.87,73.86
2016M01,Slovakia,69.94,83.16,78.15,102.21,81.49,72.87,73.86
