time,country,value,value_var,value_100,date
2017M07,Romania,0.1072,1.42,87.43,2017-07-01
2017M08,Romania,0.108,0.75,88.09,2017-08-01
2017M09,Romania,0.1088,0.74,88.74,2017-09-01
2017M10,Romania,0.1096,0.74,89.4,2017-10-01
2017M11,Romania,0.1103,0.64,89.97,2017-11-01
2017M12,Romania,0.1111,0.73,90.63,2017-12-01
2017M07,Slovenia,0.1198,-0.75,94.92,2017-07-01
2017M08,Slovenia,0.1213,1.25,96.11,2017-08-01
2017M09,Slovenia,0.1228,1.24,97.3,2017-09-01
2017M10,Slovenia,0.1243,1.22,98.49,2017-10-01
2017M11,Slovenia,0.1259,1.29,99.76,2017-11-01
2017M12,Slovenia,0.1274,1.19,100.95,2017-12-01
2017M07,Slovakia,0.1576,-1.25,95.24,2017-07-01
2017M08,Slovakia,0.1583,0.44,95.66,2017-08-01
2017M09,Slovakia,0.159,0.44,96.08,2017-09-01
2017M10,Slovakia,0.1597,0.44,96.5,2017-10-01
2017M11,Slovakia,0.1603,0.38,96.87,2017-11-01
2017M12,Slovakia,0.161,0.44,97.3,2017-12-01
2017M07,Finland,0.1021,-2.11,97.9,2017-07-01
2017M08,Finland,0.1023,0.2,98.1,2017-08-01
2017M09,Finland,0.1025,0.2,98.3,2017-09-01
2017M10,Finland,0.1027,0.2,98.5,2017-10-01
2017M11,Finland,0.1029,0.19,98.69,2017-11-01
2017M12,Finland,0.1031,0.19,98.88,2017-12-01
2017M07,Sweden,0.1,4.82,110.73,2017-07-01
2017M08,Sweden,0.0999,-0.1,110.62,2017-08-01
2017M09,Sweden,0.0998,-0.1,110.51,2017-09-01
2017M10,Sweden,0.0996,-0.2,110.29,2017-10-01
2017M11,Sweden,0.0995,-0.1,110.18,2017-11-01
2017M12,Sweden,0.0994,-0.1,110.07,2017-12-01
2018M01,EU,0.1715,0.18,96.03,2018-01-01
2018M02,EU,0.1717,0.12,96.15,2018-02-01
2018M03,EU,0.1719,0.12,96.27,2018-03-01
2018M04,EU,0.1721,0.12,96.39,2018-04-01
2018M05,EU,0.1723,0.12,96.51,2018-05-01
2018M06,EU,0.1725,0.12,96.63,2018-06-01
2018M01,Belgium,0.1727,-7.6,101.23,2018-01-01
2018M02,Belgium,0.1746,1.1,102.34,2018-02-01
2018M03,Belgium,0.1765,1.09,103.46,2018-03-01
2018M04,Belgium,0.1784,1.08,104.58,2018-04-01
2018M05,Belgium,0.1803,1.07,105.7,2018-05-01
2018M06,Belgium,0.1822,1.05,106.81,2018-06-01
2018M01,Bulgaria,0.113,0.44,105.11,2018-01-01
2018M02,Bulgaria,0.1135,0.44,105.57,2018-02-01
2018M03,Bulgaria,0.1141,0.53,106.13,2018-03-01
2018M04,Bulgaria,0.1146,0.44,106.6,2018-04-01
2018M05,Bulgaria,0.1151,0.44,107.07,2018-05-01
2018M06,Bulgaria,0.1157,0.52,107.63,2018-06-01
2018M01,Czechia,0.1507,5.02,103.3,2018-01-01
2018M02,Czechia,0.1517,0.66,103.98,2018-02-01
2018M03,Czechia,0.1526,0.59,104.59,2018-03-01
2018M04,Czechia,0.1536,0.66,105.28,2018-04-01
2018M05,Czechia,0.1546,0.65,105.96,2018-05-01
2018M06,Czechia,0.1555,0.58,106.57,2018-06-01
2018M01,Denmark,0.2807,1.19,104.98,2018-01-01
2018M02,Denmark,0.2804,-0.11,104.86,2018-02-01
2018M03,Denmark,0.28,-0.14,104.71,2018-03-01
2018M04,Denmark,0.2797,-0.11,104.59,2018-04-01
2018M05,Denmark,0.2794,-0.11,104.47,2018-05-01
2018M06,Denmark,0.279,-0.14,104.32,2018-06-01
2018M01,Germany,0.2231,-2.06,98.03,2018-01-01
2018M02,Germany,0.2235,0.18,98.21,2018-02-01
2018M03,Germany,0.2239,0.18,98.39,2018-03-01
2018M04,Germany,0.2244,0.22,98.61,2018-04-01
2018M05,Germany,0.2248,0.18,98.79,2018-05-01
2018M06,Germany,0.2252,0.18,98.97,2018-06-01
2018M01,Estonia,0.1148,1.59,100.6,2018-01-01
2018M02,Estonia,0.1164,1.39,102.0,2018-02-01
2018M03,Estonia,0.118,1.37,103.4,2018-03-01
